Protein id,number in CRISPR array,Number in genome sequences,Co-occurance,BLASTp derived description,
13832|*|gene_2483646|GeneMark.hmm|789_aa|+|5829|8198,544,80711,0.006740097,,
5421|*|gene_2561839|GeneMark.hmm|1057_aa|-|115|3288,552,81970,0.006734171,,
12295|*|gene_3881102|GeneMark.hmm|820_aa|-|9252|11714,545,81104,0.006719767,,
10374|*|gene_1293336|GeneMark.hmm|865_aa|+|31692|34289,852,127005,0.006708397,,
7988|*|gene_23874|GeneMark.hmm|941_aa|+|13570|16395,1061,158444,0.006696372,,
362|*|gene_758255|GeneMark.hmm|2047_aa|-|17756|23899,959,143232,0.006695431,,
2714|*|gene_1158994|GeneMark.hmm|1265_aa|+|3761|7558,1369,204573,0.006691988,,
2096|*|gene_1102577|GeneMark.hmm|1341_aa|-|8292|12317,778,116317,0.006688618,,
10327|*|gene_2768959|GeneMark.hmm|867_aa|-|1607|4210,546,81640,0.006687898,,
13355|*|gene_3511507|GeneMark.hmm|798_aa|+|688|3084,149,22343,0.006668755,,
7545|*|gene_9711|GeneMark.hmm|957_aa|+|13268|16141,11,1653,0.006654567,,
1455|*|gene_4268171|GeneMark.hmm|1453_aa|+|24613|28974,605,91095,0.006641418,,
219|*|gene_26791|GeneMark.hmm|2284_aa|+|9831|16685,4,603,0.006633499,,
3974|*|gene_2243785|GeneMark.hmm|1146_aa|-|1|3438,881,132910,0.006628546,,
1308|*|gene_3890817|GeneMark.hmm|1488_aa|-|1667|6133,711,107326,0.006624676,,
8673|*|gene_1630631|GeneMark.hmm|916_aa|+|32535|35285,746,112799,0.006613534,,
7745|*|gene_274054|GeneMark.hmm|951_aa|+|10997|13852,3,454,0.00660793,,
15637|*|gene_25214|GeneMark.hmm|753_aa|-|8143|10404,512,77501,0.006606366,,
1525|*|gene_2662161|GeneMark.hmm|1437_aa|-|3|4313,82,12431,0.006596412,,
9830|*|gene_10341|GeneMark.hmm|879_aa|+|90767|93406,301,45656,0.006592781,,
7433|*|gene_43970|GeneMark.hmm|962_aa|+|9141|12029,8,1214,0.006589786,,
12096|*|gene_1645332|GeneMark.hmm|825_aa|+|4341|6818,548,83181,0.006588043,,
3746|*|gene_602962|GeneMark.hmm|1164_aa|+|11580|15074,1717,260670,0.006586872,,
6174|*|gene_1117568|GeneMark.hmm|1022_aa|-|26313|29381,62,9415,0.006585236,,
8305|*|gene_15702|GeneMark.hmm|927_aa|+|16085|18868,277,42074,0.006583638,,
6711|*|gene_1363389|GeneMark.hmm|996_aa|+|24381|27371,54,8219,0.006570142,,
70|*|gene_341091|GeneMark.hmm|3140_aa|+|25115|34537,541,82352,0.006569361,,
10574|*|gene_2183068|GeneMark.hmm|859_aa|+|17319|19898,463,70566,0.006561233,,
6798|*|gene_4008556|GeneMark.hmm|992_aa|-|4640|7618,463,70627,0.006555567,,
9716|*|gene_25505|GeneMark.hmm|882_aa|-|2|2647,67,10229,0.006550005,,
3607|*|gene_1663524|GeneMark.hmm|1174_aa|+|29372|32896,542,82801,0.006545815,,
9714|*|gene_28244|GeneMark.hmm|883_aa|+|1962|4613,17,2606,0.006523408,,
875|*|gene_883843|GeneMark.hmm|1653_aa|-|7809|12770,315,48291,0.006522955,,
8066|*|gene_918738|GeneMark.hmm|938_aa|+|3935|6751,576,88452,0.006512007,,
12933|*|gene_1780350|GeneMark.hmm|806_aa|-|11098|13518,832,127912,0.006504472,,
4680|*|gene_2480156|GeneMark.hmm|1098_aa|+|4789|8085,136,20921,0.006500645,,
12707|*|gene_4270959|GeneMark.hmm|811_aa|+|21500|23935,526,81183,0.006479189,,
7967|*|gene_19026|GeneMark.hmm|940_aa|+|36176|38998,95,14674,0.006474036,,
2797|*|gene_4566662|GeneMark.hmm|1253_aa|+|3983|7744,1044,161316,0.00647177,,
3345|*|gene_4667461|GeneMark.hmm|1198_aa|-|15436|19032,489,75734,0.006456809,,
13661|*|gene_46942|GeneMark.hmm|791_aa|+|12910|15285,60,9303,0.006449532,,
13843|*|gene_34615|GeneMark.hmm|787_aa|+|36153|38516,45,6980,0.006446991,,
8846|*|gene_6058|GeneMark.hmm|909_aa|+|100366|103095,17,2643,0.006432085,,
7557|*|gene_419|GeneMark.hmm|957_aa|-|104992|107865,12,1868,0.006423983,,
2885|*|gene_1881833|GeneMark.hmm|1242_aa|+|10303|14031,1736,270385,0.006420475,,
1569|*|gene_1755830|GeneMark.hmm|1426_aa|-|23793|28073,404,62931,0.00641973,,
2938|*|gene_3349862|GeneMark.hmm|1237_aa|+|91|3804,51,7952,0.006413481,,
14302|*|gene_17937|GeneMark.hmm|778_aa|+|8930|11266,7,1092,0.006410256,,
5755|*|gene_3092176|GeneMark.hmm|1041_aa|+|9093|12218,532,83070,0.006404237,,
10678|*|gene_38818|GeneMark.hmm|856_aa|+|32329|34899,491,76729,0.006399145,,
11372|*|gene_9761|GeneMark.hmm|840_aa|-|80680|83202,21,3282,0.006398537,,
2166|*|gene_3464780|GeneMark.hmm|1334_aa|-|2|4003,9,1407,0.006396588,,
7450|*|gene_4047460|GeneMark.hmm|963_aa|-|18887|21778,606,94821,0.006390989,,
5301|*|gene_1812750|GeneMark.hmm|1064_aa|-|28896|32090,9,1411,0.006378455,,
9846|*|gene_1722290|GeneMark.hmm|880_aa|-|31936|34578,12,1884,0.006369427,,
1680|*|gene_2269075|GeneMark.hmm|1404_aa|+|3|4217,169,26540,0.006367747,,
15792|*|gene_505628|GeneMark.hmm|752_aa|-|13865|16123,118,18550,0.006361186,,
15625|*|gene_2753670|GeneMark.hmm|755_aa|-|4467|6734,388,61015,0.006359092,,
14257|*|gene_3143154|GeneMark.hmm|780_aa|+|2|2344,510,80217,0.006357755,,
14568|*|gene_4631295|GeneMark.hmm|774_aa|-|20902|23226,471,74092,0.006356962,,
11835|*|gene_847222|GeneMark.hmm|830_aa|+|17367|19859,211,33280,0.006340144,,
10263|*|gene_28286|GeneMark.hmm|867_aa|+|12431|15034,2,317,0.006309148,,
5524|*|gene_41424|GeneMark.hmm|1050_aa|-|342|3494,454,71995,0.006305993,,
6599|*|gene_2044421|GeneMark.hmm|1001_aa|+|6169|9174,838,133098,0.006296113,,
13335|*|gene_548621|GeneMark.hmm|799_aa|-|8916|11315,6,955,0.006282723,,
9395|*|gene_4867280|GeneMark.hmm|893_aa|-|13731|16412,507,80734,0.006279882,,
2451|*|gene_2521662|GeneMark.hmm|1301_aa|+|1171|5076,11,1752,0.006278539,,
1562|*|gene_4011621|GeneMark.hmm|1427_aa|-|1459|5742,124,19815,0.006257885,,
8159|*|gene_4097907|GeneMark.hmm|934_aa|-|8500|11304,241,38621,0.006240128,,
10066|*|gene_269377|GeneMark.hmm|873_aa|+|35973|38594,472,75666,0.00623794,,
13499|*|gene_24553|GeneMark.hmm|794_aa|-|37438|39822,445,71408,0.006231795,,
10598|*|gene_2752091|GeneMark.hmm|859_aa|+|1231|3810,501,80440,0.006228245,,
145|*|gene_397853|GeneMark.hmm|2562_aa|-|4219|11907,559,89910,0.006217328,,
6187|*|gene_4517656|GeneMark.hmm|1022_aa|+|8837|11905,1217,196005,0.006209025,,
1382|*|gene_2003824|GeneMark.hmm|1468_aa|+|2107|6513,608,97962,0.006206488,,
10406|*|gene_2308343|GeneMark.hmm|864_aa|-|1|2592,30,4849,0.006186843,,
9073|*|gene_564017|GeneMark.hmm|903_aa|+|1812|4523,469,75842,0.006183909,,
2332|*|gene_2608897|GeneMark.hmm|1316_aa|+|7098|11048,426,69018,0.006172303,,
12942|*|gene_218022|GeneMark.hmm|806_aa|+|7253|9673,575,93170,0.006171514,,
702|*|gene_1736075|GeneMark.hmm|1743_aa|+|1747|6978,6,973,0.006166495,,
1082|*|gene_4023560|GeneMark.hmm|1562_aa|-|16552|21240,1823,295856,0.006161781,,
2706|*|gene_4522197|GeneMark.hmm|1267_aa|-|23035|26838,822,133419,0.006161042,,
11304|*|gene_4995|GeneMark.hmm|841_aa|+|711|3236,305,49576,0.00615217,,
2719|*|gene_21275|GeneMark.hmm|1261_aa|-|15022|18807,66,10734,0.006148686,,
15472|*|gene_16937|GeneMark.hmm|757_aa|-|12992|15265,30,4900,0.006122449,,
15197|*|gene_16015|GeneMark.hmm|762_aa|+|47327|49615,229,37484,0.006109273,,
10977|*|gene_42882|GeneMark.hmm|848_aa|-|964|3510,61,9996,0.006102441,,
13516|*|gene_795984|GeneMark.hmm|795_aa|-|18276|20663,501,82159,0.006097932,,
10051|*|gene_4524777|GeneMark.hmm|874_aa|+|21101|23725,5,821,0.006090134,,
9528|*|gene_16700|GeneMark.hmm|888_aa|+|20500|23166,457,75091,0.006085949,,
4047|*|gene_1014766|GeneMark.hmm|1140_aa|-|15693|19115,486,79915,0.006081462,,
10863|*|gene_3923620|GeneMark.hmm|852_aa|-|2832|5390,883,145442,0.006071149,,
12586|*|gene_1058427|GeneMark.hmm|814_aa|-|1251|3695,347,57382,0.006047192,,
11055|*|gene_46233|GeneMark.hmm|846_aa|+|19606|22146,241,39854,0.006047072,,
7508|*|gene_3231162|GeneMark.hmm|960_aa|-|2851|5733,16,2647,0.006044579,,
3929|*|gene_870856|GeneMark.hmm|1149_aa|+|17770|21219,270,44671,0.00604419,,
14679|*|gene_2622683|GeneMark.hmm|772_aa|-|13328|15646,308,51040,0.006034483,,
3470|*|gene_4265647|GeneMark.hmm|1186_aa|+|30755|34315,31,5144,0.006026439,,
5536|*|gene_1989663|GeneMark.hmm|1051_aa|+|34841|37996,79,13158,0.006003952,,
8236|*|gene_1615324|GeneMark.hmm|931_aa|-|19029|21824,672,112111,0.005994059,,
6564|*|gene_2207952|GeneMark.hmm|1003_aa|-|5502|8513,554,92431,0.00599366,,
385|*|gene_2541850|GeneMark.hmm|2017_aa|+|613|6666,817,136391,0.005990131,,
9147|*|gene_2845185|GeneMark.hmm|901_aa|-|30645|33350,861,143767,0.005988857,,
14648|*|gene_1979674|GeneMark.hmm|773_aa|+|11053|13374,492,82346,0.005974789,,
10220|*|gene_4671363|GeneMark.hmm|869_aa|-|17625|20234,445,74485,0.005974357,,
5983|*|gene_25600|GeneMark.hmm|1029_aa|-|20901|23990,448,75009,0.005972617,,
11352|*|gene_4697572|GeneMark.hmm|841_aa|+|2|2527,495,83138,0.005953956,,
5545|*|gene_9321|GeneMark.hmm|1049_aa|-|50218|53367,5,840,0.005952381,,
8334|*|gene_1776132|GeneMark.hmm|928_aa|+|29722|32508,212,35701,0.005938209,,
565|*|gene_1701677|GeneMark.hmm|1839_aa|-|3890|9409,1764,297247,0.005934459,,
7259|*|gene_2742051|GeneMark.hmm|971_aa|+|9363|12278,244,41157,0.005928518,,
12697|*|gene_37161|GeneMark.hmm|810_aa|+|30076|32508,282,47575,0.005927483,,
341|*|gene_2297660|GeneMark.hmm|2079_aa|-|4866|11105,1960,331288,0.005916302,,
4744|*|gene_2159640|GeneMark.hmm|1095_aa|-|7789|11076,92,15563,0.005911457,,
10668|*|gene_10439|GeneMark.hmm|856_aa|-|73332|75902,292,49443,0.005905791,,
3606|*|gene_3974520|GeneMark.hmm|1174_aa|-|5700|9224,485,82207,0.005899741,,
10359|*|gene_9365|GeneMark.hmm|864_aa|+|4048|6642,14,2378,0.0058873,,
11265|*|gene_729498|GeneMark.hmm|843_aa|+|9717|12248,981,166738,0.005883482,,
12620|*|gene_25048|GeneMark.hmm|812_aa|-|32180|34618,2,340,0.005882353,,
6544|*|gene_3840|GeneMark.hmm|1002_aa|-|12385|15393,2,340,0.005882353,,
8269|*|gene_7148|GeneMark.hmm|929_aa|+|103945|106734,20,3407,0.005870267,,
4490|*|gene_2071886|GeneMark.hmm|1110_aa|+|3|3335,840,143822,0.005840553,,
15795|*|gene_1894928|GeneMark.hmm|752_aa|-|1946|4204,469,80321,0.005839071,,
664|*|gene_2745141|GeneMark.hmm|1775_aa|-|4127|9454,69,11821,0.00583707,,
4321|*|gene_4481529|GeneMark.hmm|1121_aa|-|16204|19569,463,79374,0.005833144,,
10315|*|gene_1026302|GeneMark.hmm|867_aa|-|30011|32614,344,59173,0.005813462,,
9545|*|gene_3727308|GeneMark.hmm|888_aa|-|1196|3862,284,48865,0.005811931,,
1325|*|gene_2152217|GeneMark.hmm|1484_aa|+|2520|6974,1945,334941,0.005806993,,
6796|*|gene_2505295|GeneMark.hmm|993_aa|-|1087|4068,4,689,0.005805515,,
956|*|gene_2730218|GeneMark.hmm|1613_aa|-|595|5436,486,83738,0.005803817,,
6776|*|gene_959556|GeneMark.hmm|993_aa|+|34313|37294,476,82024,0.00580318,,
1566|*|gene_2094706|GeneMark.hmm|1426_aa|-|24051|28331,14,2415,0.005797101,,
14148|*|gene_4197|GeneMark.hmm|781_aa|-|17459|19804,13,2243,0.005795809,,
1176|*|gene_1546551|GeneMark.hmm|1531_aa|-|10540|15135,353,60920,0.005794485,,
799|*|gene_1887689|GeneMark.hmm|1693_aa|-|1|5079,1896,327232,0.005794054,,
5495|*|gene_738512|GeneMark.hmm|1053_aa|+|14768|17929,480,83023,0.00578153,,
12616|*|gene_984|GeneMark.hmm|812_aa|+|182815|185253,301,52114,0.005775799,,
10480|*|gene_3105124|GeneMark.hmm|862_aa|-|21599|24187,48,8314,0.005773394,,
12820|*|gene_3876594|GeneMark.hmm|809_aa|+|20356|22785,462,80031,0.005772763,,
6944|*|gene_2319894|GeneMark.hmm|986_aa|+|518|3478,541,93972,0.005757034,,
343|*|gene_3835682|GeneMark.hmm|2071_aa|+|5120|11335,1263,219391,0.005756845,,
3652|*|gene_882786|GeneMark.hmm|1172_aa|-|5393|8911,427,74392,0.005739865,,
618|*|gene_3704740|GeneMark.hmm|1808_aa|+|12089|17515,570,99332,0.005738332,,
10781|*|gene_13218|GeneMark.hmm|853_aa|+|8978|11539,28,4884,0.005733006,,
2403|*|gene_3282089|GeneMark.hmm|1307_aa|+|2|3925,129,22515,0.005729514,,
6517|*|gene_34599|GeneMark.hmm|1005_aa|-|2657|5674,61,10658,0.0057234,,
15465|*|gene_1073147|GeneMark.hmm|759_aa|-|26872|29151,458,80042,0.005721996,,
2913|*|gene_3530063|GeneMark.hmm|1239_aa|-|10220|13939,394,68925,0.005716358,,
4757|*|gene_40062|GeneMark.hmm|1092_aa|+|7486|10764,8,1401,0.005710207,,
12783|*|gene_2428720|GeneMark.hmm|809_aa|-|4104|6533,518,91089,0.005686746,,
2486|*|gene_3833218|GeneMark.hmm|1297_aa|+|10638|14531,343,60378,0.005680877,,
4989|*|gene_33975|GeneMark.hmm|1079_aa|+|13642|16881,13,2289,0.005679336,,
11452|*|gene_19661|GeneMark.hmm|837_aa|-|3725|6238,40,7050,0.005673759,,
5127|*|gene_2267410|GeneMark.hmm|1074_aa|-|2|3223,624,110098,0.005667678,,
9251|*|gene_1896905|GeneMark.hmm|897_aa|+|16715|19408,402,70995,0.005662371,,
1939|*|gene_2320908|GeneMark.hmm|1362_aa|+|3494|7582,115,20311,0.005661957,,
7233|*|gene_1618925|GeneMark.hmm|972_aa|+|3|2921,452,80025,0.005648235,,
14914|*|gene_2268892|GeneMark.hmm|768_aa|+|589|2895,65,11528,0.005638446,,
1405|*|gene_1452263|GeneMark.hmm|1462_aa|+|31691|36079,237,42042,0.00563722,,
735|*|gene_4426|GeneMark.hmm|1726_aa|-|150844|156024,43,7651,0.00562018,,
154|*|gene_1264655|GeneMark.hmm|2520_aa|+|31387|38949,77,13701,0.005620028,,
13214|*|gene_2898623|GeneMark.hmm|801_aa|-|201|2606,230,40945,0.005617291,,
14247|*|gene_1409861|GeneMark.hmm|780_aa|-|146|2488,458,81644,0.00560972,,
880|*|gene_1024385|GeneMark.hmm|1652_aa|+|29460|34418,297,52947,0.005609383,,
12922|*|gene_40268|GeneMark.hmm|807_aa|+|13099|15522,258,46013,0.005607111,,
4953|*|gene_670618|GeneMark.hmm|1083_aa|-|7444|10695,870,155299,0.005602097,,
3179|*|gene_4123492|GeneMark.hmm|1214_aa|+|8827|12471,861,153765,0.005599454,,
4288|*|gene_1329565|GeneMark.hmm|1123_aa|-|12489|15860,102,18251,0.005588735,,
8608|*|gene_1911861|GeneMark.hmm|918_aa|-|7558|10314,449,80475,0.005579372,,
12960|*|gene_39933|GeneMark.hmm|805_aa|-|20365|22782,424,76090,0.005572349,,
10937|*|gene_624996|GeneMark.hmm|850_aa|+|21960|24512,285,51346,0.005550578,,
5974|*|gene_2258183|GeneMark.hmm|1031_aa|+|19663|22758,6,1081,0.005550416,,
3776|*|gene_1854976|GeneMark.hmm|1161_aa|+|31879|35364,1321,238076,0.005548648,,
10260|*|gene_3786604|GeneMark.hmm|868_aa|+|207|2813,444,80053,0.005546326,,
6729|*|gene_2271190|GeneMark.hmm|996_aa|+|3|2993,519,93755,0.005535705,,
4736|*|gene_324644|GeneMark.hmm|1096_aa|+|9603|12893,388,70134,0.005532267,,
9764|*|gene_3192378|GeneMark.hmm|882_aa|+|26051|28699,409,73930,0.00553226,,
3822|*|gene_4451834|GeneMark.hmm|1158_aa|+|5139|8615,20,3620,0.005524862,,
10052|*|gene_3106673|GeneMark.hmm|874_aa|-|16764|19388,7,1267,0.005524862,,
5316|*|gene_4079728|GeneMark.hmm|1063_aa|-|22056|25247,435,78928,0.005511352,,
5720|*|gene_31682|GeneMark.hmm|1041_aa|-|28941|32066,20,3629,0.00551116,,
1452|*|gene_31059|GeneMark.hmm|1452_aa|+|33244|37602,6,1089,0.005509642,,
13023|*|gene_8325|GeneMark.hmm|804_aa|+|53759|56173,9,1635,0.005504587,,
13073|*|gene_2208136|GeneMark.hmm|804_aa|+|4919|7333,440,80045,0.005496908,,
7250|*|gene_974565|GeneMark.hmm|971_aa|+|15545|18460,883,160636,0.0054969,,
11350|*|gene_2739418|GeneMark.hmm|841_aa|+|5961|8486,317,57677,0.005496125,,
5022|*|gene_4077737|GeneMark.hmm|1079_aa|+|21011|24250,436,79401,0.005491115,,
708|*|gene_4132970|GeneMark.hmm|1740_aa|+|19755|24977,566,103241,0.005482318,,
2201|*|gene_4532350|GeneMark.hmm|1332_aa|-|7093|11091,439,80149,0.005477299,,
11091|*|gene_1766326|GeneMark.hmm|846_aa|+|35900|38440,841,154735,0.005435099,,
7700|*|gene_1841717|GeneMark.hmm|953_aa|+|24838|27699,32,5900,0.005423729,,
1554|*|gene_4539858|GeneMark.hmm|1428_aa|-|51976|56262,78,14385,0.005422315,,
11036|*|gene_2306509|GeneMark.hmm|848_aa|-|613|3159,48,8881,0.005404797,,
9266|*|gene_12456|GeneMark.hmm|896_aa|-|13900|16590,58,10739,0.005400875,,
12461|*|gene_21658|GeneMark.hmm|815_aa|-|32096|34543,432,80011,0.005399258,,
1630|*|gene_3795877|GeneMark.hmm|1416_aa|-|12818|17068,168,31133,0.005396203,,
8442|*|gene_4666692|GeneMark.hmm|924_aa|-|20453|23227,6,1112,0.005395683,,
1214|*|gene_2089209|GeneMark.hmm|1516_aa|+|2022|6572,196,36391,0.005385947,,
6536|*|gene_4130712|GeneMark.hmm|1004_aa|+|16267|19281,713,132446,0.005383326,,
2601|*|gene_19121|GeneMark.hmm|1280_aa|-|34363|38205,10,1863,0.005367687,,
13121|*|gene_1886898|GeneMark.hmm|803_aa|-|6094|8505,309,57595,0.005365049,,
3099|*|gene_3971447|GeneMark.hmm|1221_aa|-|28749|32414,9,1681,0.005353956,,
5760|*|gene_669653|GeneMark.hmm|1041_aa|+|11493|14618,442,82682,0.005345783,,
7136|*|gene_43662|GeneMark.hmm|975_aa|-|9452|12379,400,74872,0.005342451,,
7165|*|gene_3806563|GeneMark.hmm|975_aa|-|8757|11684,369,69089,0.005340937,,
6653|*|gene_1135809|GeneMark.hmm|999_aa|-|34739|37738,431,80741,0.005338056,,
12688|*|gene_3486118|GeneMark.hmm|812_aa|+|1|2439,315,59036,0.005335727,,
12021|*|gene_17345|GeneMark.hmm|825_aa|-|8681|11158,6,1125,0.005333333,,
8765|*|gene_43840|GeneMark.hmm|911_aa|+|657|3392,4,755,0.005298013,,
721|*|gene_1889371|GeneMark.hmm|1732_aa|-|32860|38058,807,152397,0.00529538,,
11067|*|gene_4995|GeneMark.hmm|846_aa|-|104412|106952,17,3212,0.005292653,,
14290|*|gene_4129497|GeneMark.hmm|779_aa|-|12089|14428,361,68272,0.005287673,,
9156|*|gene_2574921|GeneMark.hmm|900_aa|+|7601|10303,424,80249,0.005283555,,
14490|*|gene_24560|GeneMark.hmm|775_aa|+|31940|34267,407,77050,0.005282284,,
10843|*|gene_24262|GeneMark.hmm|851_aa|+|1242|3797,2,379,0.005277045,,
728|*|gene_2299231|GeneMark.hmm|1729_aa|-|510|5699,960,182883,0.005249258,,
2829|*|gene_2374491|GeneMark.hmm|1249_aa|+|2196|5945,270,51514,0.005241294,,
3950|*|gene_4139762|GeneMark.hmm|1148_aa|-|14991|18437,94,17942,0.005239104,,
14027|*|gene_1808804|GeneMark.hmm|785_aa|+|27647|30004,391,74797,0.005227482,,
13756|*|gene_1824410|GeneMark.hmm|790_aa|-|6145|8517,296,56834,0.00520815,,
12995|*|gene_4176492|GeneMark.hmm|805_aa|+|20991|23408,343,65887,0.005205883,,
2169|*|gene_2749480|GeneMark.hmm|1334_aa|-|4087|8091,173,33293,0.005196288,,
15013|*|gene_47096|GeneMark.hmm|765_aa|+|14124|16421,164,31625,0.005185771,,
12709|*|gene_4028496|GeneMark.hmm|811_aa|+|14045|16480,247,47670,0.005181456,,
13587|*|gene_16182|GeneMark.hmm|792_aa|-|9295|11673,25,4829,0.005177055,,
7074|*|gene_3140357|GeneMark.hmm|980_aa|+|1244|4186,415,80173,0.005176306,,
429|*|gene_50116|GeneMark.hmm|1973_aa|+|7822|13743,301,58189,0.005172799,,
2582|*|gene_1636005|GeneMark.hmm|1284_aa|-|36147|40001,190,36763,0.00516824,,
826|*|gene_42212|GeneMark.hmm|1679_aa|+|25441|30480,1033,200256,0.005158397,,
5226|*|gene_3099638|GeneMark.hmm|1068_aa|+|35857|39063,417,81378,0.005124235,,
11608|*|gene_4815128|GeneMark.hmm|835_aa|+|21533|24040,205,40095,0.005112857,,
628|*|gene_4409482|GeneMark.hmm|1803_aa|-|16211|21622,54,10562,0.005112668,,
8604|*|gene_2935118|GeneMark.hmm|918_aa|-|99|2855,226,44305,0.005101004,,
1910|*|gene_3683953|GeneMark.hmm|1366_aa|+|27806|31906,112,21985,0.005094383,,
636|*|gene_3292202|GeneMark.hmm|1798_aa|-|3672|9068,318,62427,0.00509395,,
13441|*|gene_8173|GeneMark.hmm|795_aa|-|773|3160,143,28078,0.005092955,,
1141|*|gene_23895|GeneMark.hmm|1540_aa|-|35379|40001,265,52094,0.005086958,,
1619|*|gene_289715|GeneMark.hmm|1417_aa|-|15509|19762,271,53304,0.005084046,,
14050|*|gene_2340308|GeneMark.hmm|784_aa|+|3602|5956,393,77427,0.005075749,,
4903|*|gene_4522204|GeneMark.hmm|1086_aa|-|1|3258,347,68520,0.005064215,,
379|*|gene_836550|GeneMark.hmm|2026_aa|+|32289|38369,1,198,0.005050505,,
4027|*|gene_2531355|GeneMark.hmm|1141_aa|-|782|4207,1242,245929,0.005050238,,
12980|*|gene_3600138|GeneMark.hmm|805_aa|-|5588|8005,426,84381,0.00504853,,
11438|*|gene_2023361|GeneMark.hmm|839_aa|-|13719|16238,390,77309,0.005044691,,
9687|*|gene_1968258|GeneMark.hmm|884_aa|+|31955|34609,10,1983,0.005042864,,
11344|*|gene_3009444|GeneMark.hmm|841_aa|+|24400|26925,74,14698,0.005034699,,
3279|*|gene_4113936|GeneMark.hmm|1205_aa|+|16662|20279,57,11327,0.005032224,,
13074|*|gene_34451|GeneMark.hmm|804_aa|+|4115|6529,404,80388,0.005025626,,
11270|*|gene_259248|GeneMark.hmm|843_aa|-|30254|32785,300,59746,0.005021257,,
3840|*|gene_15555|GeneMark.hmm|1155_aa|-|19494|22961,397,79106,0.005018583,,
4926|*|gene_2739074|GeneMark.hmm|1085_aa|-|5701|8958,312,62231,0.005013578,,
4016|*|gene_16067|GeneMark.hmm|1140_aa|-|121|3543,2,399,0.005012531,,
15312|*|gene_1395529|GeneMark.hmm|761_aa|+|12338|14623,154,30789,0.005001786,,
6341|*|gene_1838918|GeneMark.hmm|1014_aa|-|28174|31218,497,99368,0.00500161,,
383|*|gene_3737548|GeneMark.hmm|2018_aa|+|7539|13595,288,57668,0.004994104,,
15274|*|gene_3094135|GeneMark.hmm|762_aa|-|7611|9899,399,79906,0.004993367,,
15269|*|gene_1058343|GeneMark.hmm|762_aa|+|31262|33550,15,3005,0.004991681,,
1315|*|gene_4677663|GeneMark.hmm|1486_aa|-|13646|18106,443,88755,0.004991268,,
14108|*|gene_8063|GeneMark.hmm|781_aa|-|136673|139018,16,3209,0.004985977,,
13135|*|gene_2508350|GeneMark.hmm|803_aa|+|588|2999,399,80036,0.004985257,,
1344|*|gene_3759645|GeneMark.hmm|1478_aa|+|1948|6384,387,77885,0.004968864,,
3681|*|gene_18021|GeneMark.hmm|1168_aa|-|10317|13823,23,4631,0.00496653,,
4911|*|gene_2288868|GeneMark.hmm|1086_aa|+|4791|8051,418,84181,0.004965491,,
7196|*|gene_18710|GeneMark.hmm|972_aa|+|33577|36495,301,60662,0.00496192,,
5302|*|gene_2334259|GeneMark.hmm|1064_aa|+|3945|7139,343,69141,0.004960877,,
15687|*|gene_3888441|GeneMark.hmm|754_aa|-|8695|10959,46,9292,0.004950495,,
9853|*|gene_3452275|GeneMark.hmm|879_aa|+|1|2640,3,608,0.004934211,,
5976|*|gene_2386792|GeneMark.hmm|1031_aa|-|20833|23928,395,80142,0.004928751,,
13149|*|gene_1927143|GeneMark.hmm|803_aa|+|15153|17564,442,89742,0.00492523,,
6233|*|gene_405|GeneMark.hmm|1017_aa|-|104912|107965,7,1422,0.004922644,,
14424|*|gene_22913|GeneMark.hmm|775_aa|-|31759|34086,337,68507,0.004919205,,
2|*|gene_1352186|GeneMark.hmm|6590_aa|+|2|19774,4014,816301,0.004917304,,
15850|*|gene_2797834|GeneMark.hmm|751_aa|+|17397|19652,23,4679,0.00491558,,
315|*|gene_2729785|GeneMark.hmm|2121_aa|+|353|6718,679,138243,0.004911641,,
5033|*|gene_1697074|GeneMark.hmm|1079_aa|+|25789|29028,393,80051,0.00490937,,
3530|*|gene_4822655|GeneMark.hmm|1181_aa|-|20006|23551,66,13450,0.004907063,,
6778|*|gene_1391388|GeneMark.hmm|993_aa|+|26715|29696,680,138797,0.004899241,,
15366|*|gene_498124|GeneMark.hmm|760_aa|-|13087|15369,302,61736,0.004891797,,
12421|*|gene_2214641|GeneMark.hmm|817_aa|-|6464|8917,890,182078,0.004888015,,
5487|*|gene_2482851|GeneMark.hmm|1053_aa|+|9167|12328,289,59136,0.00488704,,
15795|*|gene_8930|GeneMark.hmm|751_aa|+|5372|7627,9,1849,0.004867496,,
1199|*|gene_41524|GeneMark.hmm|1519_aa|-|27529|32088,688,141371,0.004866628,,
13174|*|gene_251822|GeneMark.hmm|802_aa|-|15683|18091,390,80150,0.004865876,,
9117|*|gene_3224247|GeneMark.hmm|902_aa|+|1|2709,172,35498,0.004845343,,
9563|*|gene_1360062|GeneMark.hmm|888_aa|+|23753|26419,642,132516,0.004844698,,
4579|*|gene_1196361|GeneMark.hmm|1104_aa|+|5379|8693,2,413,0.004842615,,
12688|*|gene_11026|GeneMark.hmm|810_aa|+|5247|7679,51,10533,0.004841925,,
1195|*|gene_2221008|GeneMark.hmm|1523_aa|-|15022|19593,81,16745,0.004837265,,
4211|*|gene_1697513|GeneMark.hmm|1129_aa|+|21027|24416,382,79066,0.004831407,,
11802|*|gene_3204471|GeneMark.hmm|831_aa|+|4260|6755,534,110919,0.004814324,,
14523|*|gene_2147176|GeneMark.hmm|775_aa|-|1349|3676,394,82168,0.004795054,,
